feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,global_fdr_significant,family_fdr_significant,raw_p_less_0_05,candidate_support_tier_preliminary,missing_count,missing_percent,paired_patient_count,missingness_flag,cluster_id,cluster_size,cluster_type,is_cluster_representative,evidence_raw_p_0_05,evidence_raw_p_0_10,evidence_direction_consistency,evidence_strong_direction_consistency,evidence_effect_size,evidence_strong_effect_size,evidence_bootstrap_ci_excludes_zero,evidence_family_fdr,evidence_global_fdr,evidence_redundancy_representative,score_raw_p,score_effect_size,score_direction_consistency,score_bootstrap,score_fdr,score_redundancy,score_missingness,preliminary_priority_score,preliminary_priority_tier,preliminary_rank,included_in_preliminary_shortlist
petrosianFd,fractal and nonlinear dynamics,20,1.02,1.02,0.0,0.0,4,4,12,no_change,0.6,0.763024600552995,0.1111111111111111,0.0,0.0,0,0,0.1111111111111111,0.9626522350658362,0.915629520663594,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_027,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.0724764717291025,0.16666666666666666,0.3846153846153846,0.0,0.0,1.0,1.0,2.7475170460223075,not_prioritized,31,0
permutationEntropy,entropy and complexity,20,2.3725,2.3425,0.03,1.3797692990239587,12,7,1,increase,0.6,0.8405177356132087,-0.0526315789473684,-0.1074999999999999,0.0524999999999999,0,0,0.0526315789473684,0.9626522350658362,0.8405177356132087,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_018,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.04655634106991082,0.0789473684210526,0.3846153846153846,0.0,0.0,1.0,1.0,2.520238188212696,not_prioritized,32,0
entropyProfiled_average_sampleEntropy,entropy-profile aggregate features,20,0.05,0.05,0.0,0.0,5,5,10,no_change,0.5,0.7202301969573564,-0.1272727272727272,0.0,0.0,0,0,0.1272727272727272,0.9626522350658362,0.7202301969573564,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_020,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.08794352998146553,0.1909090909090908,0.23076923076923078,0.0,0.0,1.0,1.0,2.5192437033195745,not_prioritized,33,0
minimum,time-domain statistics,20,-0.55,-0.6,0.005,0.4098360655737709,10,9,1,increase,0.5,0.6723162484711958,0.1105263157894736,-0.0549999999999998,0.0325,0,0,0.1105263157894736,0.9626522350658362,0.9256271491017656,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_036,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.10639112260478419,0.1657894736842104,0.23076923076923078,0.0,0.0,1.0,1.0,2.5058996541164507,not_prioritized,34,0
skewness,time-domain statistics,20,-0.305,-0.21,0.0424999999999999,3.6062779765137822,11,9,0,increase,0.55,0.7841262817382812,-0.0761904761904762,-0.3124999999999999,0.1949999999999999,0,0,0.0761904761904762,0.9626522350658362,0.9256271491017656,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_039,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.065166305109906,0.1142857142857143,0.30769230769230776,0.0,0.0,1.0,1.0,2.474288654175856,not_prioritized,35,0
meanAbsoluteValue,time-domain statistics,20,0.12,0.11,-0.0099999999999999,-6.9047619047619015,8,11,1,decrease,0.55,0.8243083271555138,-0.0578947368421052,-0.01,0.01,0,0,0.0578947368421052,0.9626522350658362,0.9256271491017656,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_034,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.05177462829610881,0.0868421052631578,0.30769230769230776,0.0,0.0,1.0,1.0,2.392618082503149,not_prioritized,36,0
median,time-domain statistics,20,0.01,0.0,0.0,0.0,6,7,7,tie_or_mixed,0.35,0.5961126657233238,-0.1648351648351648,-0.01,0.0049999999999999,0,2,0.1648351648351648,0.9393290490185708,0.9256271491017656,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_035,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.13862767034981305,0.2472527472527472,0.0,0.0,0.0,1.0,1.0,2.2717608352051206,not_prioritized,37,0
entropyProfiled_kurtosis_sampleEntropy,entropy-profile aggregate features,20,97.2525,99.465,3.5999999999999943,3.509987495778184,11,9,0,increase,0.55,0.4304332733154297,0.2095238095238095,-4.63000000000001,16.20499999999999,0,0,0.2095238095238095,0.9077031086770774,0.5683961815099696,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_003,2,correlated_cluster_abs_rho_ge_0_85,0,0,0,0,0,0,0,0,0,0,0,0.22588867353060105,0.3142857142857143,0.30769230769230776,0.0,0.0,0.0,1.0,2.1957333910172463,not_prioritized,38,0
distributionEntropy,entropy and complexity,20,0.83,0.83,0.0,0.0,7,9,4,decrease,0.45,0.7758498559997214,-0.0808823529411764,-0.0125,0.015,0,0,0.0808823529411764,0.9626522350658362,0.8405177356132087,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_015,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.06800975054336227,0.12132352941176461,0.15384615384615388,0.0,0.0,1.0,1.0,2.1863588676025616,not_prioritized,39,0
fd_maximum,fractal-dimension summary features,20,458.5475,450.5825,-5.707499999999981,-2.251785406046744,10,10,0,tie_or_mixed,0.5,0.8694877624511719,0.0476190476190476,-78.08249999999998,91.6475,0,0,0.0476190476190476,0.9626522350658362,1.0,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_002,3,correlated_cluster_abs_rho_ge_0_85,1,0,0,0,0,0,0,0,0,0,1,0.03747585907682591,0.07142857142857141,0.23076923076923078,0.0,0.0,1.0,1.0,2.179347322549256,not_prioritized,40,0
