,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
approximateEntropy,0.36155711704482496,-0.22643654241558192,,0.18442234927959034,-0.3422717400556532,-0.3217952411256947,0.10907010768143889,-0.077535645996751,0.40003801044690196,-0.08843619771812991,-0.2710805476202254,1.0,0.9100296036774405,0.28035000596057696,0.33691562381265194,-0.11378588610181357,0.35430322857142055,0.20654570434073158,0.2557392137715999,0.06192015820227518,0.2918433946035184,0.17955511490017265,-0.14026944416774242,0.5277487962355716,0.3313218362815662,-0.36751040727541373,0.04800049987282037,0.4078392591849178,0.5256413685282588,-0.43214169360049776,-0.3969265477681146,-0.29836565643774593,-0.3734982051407379,0.4958715328253708,-0.32478801904968935
sampleEntropy,0.22867628754534147,-0.12571386177428195,,0.27500028860826337,-0.33270400938498784,-0.3119506455359249,-0.0027178365808405297,-0.18866660035180272,0.4227021716243024,0.0001065258527586656,-0.2163600747083481,0.9100296036774405,1.0,0.1923974170071038,0.2949124354518933,-0.08859360665192963,0.2835184893289151,0.16574956544811117,0.23863584996213547,-0.0004176899377774183,0.2671047572887556,0.16585998206352534,-0.016116840960155566,0.4947374633608039,0.24980649925978599,-0.27471830141253767,0.03160256735001818,0.28208186130509455,0.383059519352705,-0.3750971401924954,-0.358097941619878,-0.19299852656554883,-0.25134718869209016,0.34953634709186837,-0.30747675059606205
permutationEntropy,0.10875955396051969,0.040484637487520556,,-0.34008491071262253,-0.2960676282564196,-0.1999372732807613,0.16344970834054945,0.45970212898912544,0.3328578211400663,-0.29494490773411114,-0.3010114390161858,0.28035000596057696,0.1923974170071038,1.0,0.2647924687802459,-0.0069023483495801235,0.2762730353898905,0.1365178052016635,0.25324727355386567,0.11291546675697876,0.23816498000614267,0.5254162338598245,0.0441694875601807,0.41083214355025754,0.10955561900512989,-0.29623690934072316,0.06905309510460589,0.2678134549682168,0.4029589784281399,-0.3446341497456739,-0.3029885438796902,-0.2467563622319719,-0.3013023319937863,0.35954682892686546,-0.19490549105233168
singularValueDecompositionEntropy,-0.09794447950332257,0.17502759339346283,,0.2847944847347112,-0.5758975617575367,-0.4907477093372243,0.30842627063793304,-0.22981783395998012,0.4196059399705852,0.090044199617626,-0.5061219355899425,0.33691562381265194,0.2949124354518933,0.2647924687802459,1.0,-0.3087277920921215,0.341010246430253,0.11411816268007204,0.934498883778223,-0.5987792106164503,0.9384729370428626,0.13912490256908733,0.06864958806062899,0.8607535460326912,-0.46034813282243586,-0.17661120075474893,-0.027176487514466306,0.008169714570504904,0.2179187740206988,-0.5342388056519376,-0.464946195451781,-0.06071959346819346,-0.12962305249453532,0.41307752648749235,-0.5036095809059261
shannonEntropy,-0.052580628607393674,0.014217792699744616,,-0.19381323939277134,0.5283769570176081,0.49403909414750957,-0.04080347600393328,0.1680263073216965,-0.2102151345223416,-0.009519698238483046,0.5297394768665329,-0.11378588610181357,-0.08859360665192963,-0.0069023483495801235,-0.3087277920921215,1.0,-0.22484953396364044,-0.13567855290568456,-0.200097193601588,0.3811036653876218,-0.2597848055758855,-0.14351800012862312,0.02331995171371536,-0.3488213086067408,0.13638787923287424,0.033925852641736254,-0.08771001667753166,-0.09446466508820729,-0.09988933917244763,0.44941527793556374,0.35768650246635403,-0.09320531360795549,0.014020852765800541,-0.18406938680036725,0.508956296446138
renyiEntropy,0.029562420839697134,0.23528529298617284,,-0.08428721307234968,-0.6477022771889808,-0.577659542517445,0.7350856808889229,0.27263244970554373,0.49984614104067504,-0.26723011321971724,-0.6254833964266636,0.35430322857142055,0.2835184893289151,0.2762730353898905,0.341010246430253,-0.22484953396364044,1.0,0.13952078045576025,0.35614728172612437,-0.1985115947630584,0.33697691336466457,0.23403901726531315,-0.012344396940765633,0.4704005131784231,-0.10768812847117652,-0.3818033864736042,-0.04525913427161717,-0.004808058264154173,0.08044474250280918,-0.6785252056697519,-0.603061836580914,-0.20082396514165204,-0.3093789949307121,0.40372423153739584,-0.5762733793047604
lempelZivComplexity,0.2520984387587746,-0.21191672659174798,,0.09351844390948803,-0.0015005348784575957,-0.0009680966565011479,0.33006946974792856,-0.08907530449212744,0.13459944082267875,0.06892422124327935,0.001301230349750928,0.20654570434073158,0.16574956544811117,0.1365178052016635,0.11411816268007204,-0.13567855290568456,0.13952078045576025,1.0,0.14306955971061816,0.006833245550155051,0.11198706587339811,0.16873092700110018,0.02612762472077219,0.17849225401837185,0.008006917164178149,-0.13502570756515564,0.05975963895312536,0.49277545284933044,0.47832649263692983,-0.08927402387194582,-0.1457669673144759,-0.16324828300237423,-0.2411418466279808,0.29137076357290403,-0.002967667424092054
hjorthMobility,-0.1556320812341774,0.24868712196134912,,0.22076301066811846,-0.5420781382782278,-0.4571498154817033,0.3668612362558573,-0.21948976506668874,0.40229313915985365,0.07461213666083558,-0.4765908429243542,0.2557392137715999,0.23863584996213547,0.25324727355386567,0.934498883778223,-0.200097193601588,0.35614728172612437,0.14306955971061816,1.0,-0.6710177304645781,0.9397605181861797,0.09843926902465475,0.09962950635777941,0.8077310982113068,-0.5355628087515979,-0.17502785747111718,-0.058214682380775144,-0.049847564966448626,0.1347762463861303,-0.5061515366855783,-0.4440003767279552,-0.0732569252412176,-0.1298719844290961,0.4060335454288113,-0.46813574142476905
hjorthComplexity,0.2983786263037254,-0.39320787326445017,,-0.21391930629568076,0.5194133405874296,0.4692930283500829,-0.15722367949194876,0.3231764473199828,-0.23368925605657667,-0.08148843477130331,0.5068299801503435,0.06192015820227518,-0.0004176899377774183,0.11291546675697876,-0.5987792106164503,0.3811036653876218,-0.1985115947630584,0.006833245550155051,-0.6710177304645781,1.0,-0.6571772618989761,0.0844775578220123,-0.09668261668856169,-0.48338480518413784,0.6274972574758554,0.08754187749348863,0.11708468914012457,0.2922718577510194,0.25995901536910143,0.43298970643890916,0.3918059952822031,0.002252298610125189,0.031131632910806513,-0.30612656639472724,0.47794954942277385
fisherInfo,-0.1339061859832289,0.2040722633937094,,0.26044539749021567,-0.5467650199000155,-0.4651012306172894,0.3156883864024758,-0.24014820160655867,0.41363993722422215,0.0754311178103732,-0.49707699891043083,0.2918433946035184,0.2671047572887556,0.23816498000614267,0.9384729370428626,-0.2597848055758855,0.33697691336466457,0.11198706587339811,0.9397605181861797,-0.6571772618989761,1.0,0.09926430191489968,0.08717869378566248,0.8199718662124181,-0.5057310528913165,-0.18456224391339113,-0.05016770805216669,-0.008512317983086909,0.17053230878985223,-0.5111898729089706,-0.44783001595265043,-0.08974428635826254,-0.1474065394472956,0.4227623422688814,-0.47949716370378226
petrosianFd,-0.04387583760440092,-0.007230470435207767,,0.003590793313448269,-0.17420063742949882,-0.10449963886052677,0.16607109854367805,0.053340082710604815,0.3309660029018317,0.08144819535409954,-0.17676140552177824,0.17955511490017265,0.16585998206352534,0.5254162338598245,0.13912490256908733,-0.14351800012862312,0.23403901726531315,0.16873092700110018,0.09843926902465475,0.0844775578220123,0.09926430191489968,1.0,0.0993547337603182,0.27131319001640064,-0.01581225680540146,-0.09354110931652927,0.08112917515428068,0.08678236982375465,0.1995851015015862,-0.16421006015978526,-0.12439699627625485,-0.05325207023949286,-0.08771257366261394,0.09220614717738083,-0.1032233544305372
katzFd,-0.3885332666365317,0.3455777913467786,,0.014387379250239153,0.04677567161152182,0.05537066490354967,-0.12091128036658623,-0.024751706066104804,0.05594171251683509,-0.0013551652776032307,0.10979889065328911,-0.14026944416774242,-0.016116840960155566,0.0441694875601807,0.06864958806062899,0.02331995171371536,-0.012344396940765633,0.02612762472077219,0.09962950635777941,-0.09668261668856169,0.08717869378566248,0.0993547337603182,1.0,0.04266895354532163,-0.24870804771210195,0.15533574277698572,-0.06864936385993198,-0.16147851869191598,-0.14093551023588774,0.11094398038357972,0.10573832473762117,0.1777826970685025,0.21863790392082352,-0.21972298749982985,0.06340600785012424
higuchiFd,-0.004013301850473985,0.14769732123403004,,0.24608022844862737,-0.6749239618209227,-0.5988499266891213,0.35798720590088556,-0.1502123699786969,0.5465271828349193,0.014797820518071651,-0.6016502961993486,0.5277487962355716,0.4947374633608039,0.41083214355025754,0.8607535460326912,-0.3488213086067408,0.4704005131784231,0.17849225401837185,0.8077310982113068,-0.48338480518413784,0.8199718662124181,0.27131319001640064,0.04266895354532163,1.0,-0.26173478779309933,-0.3094893231364191,-0.010502770061063581,0.12519742706804043,0.30966095250081965,-0.6567623685412857,-0.5961678680321377,-0.17339820139475537,-0.2693524589076336,0.5241917907686888,-0.6066816801931638
