,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
permutationEntropy,0.027405495665450967,0.07316109352795563,,-0.26124453243025125,-0.22306939305911838,-0.1527778766501456,0.049234832264918565,0.2597697451455653,0.14168699334301715,0.05656184451363426,-0.17165811046851,0.39327348835269677,0.28493809476499193,1.0,0.4632855813530631,0.04418573506954576,0.18595900268227425,-0.14300400674969782,0.3747873503704515,0.24768206622406136,0.3774656766766811,0.6446409302215151,0.17064225512268114,0.5950835379608146,0.02176126485247786,-0.2277717799971441,0.18363733905505758,0.19556025370710325,0.48506734708910454,-0.3031470584535217,-0.2895581483742379,-0.11186100605164404,-0.1423853354107943,0.3491256950833436,-0.13991700120058728
singularValueDecompositionEntropy,-0.07278946896070786,0.0726283363991088,,0.005245514433197782,-0.38401009898972277,-0.35553579179138683,0.2295649656641692,-0.09073102422464566,0.26818988228713897,0.24243987154004248,-0.380419797255895,0.3065170907722207,0.18171921149635598,0.4632855813530631,1.0,-0.039809497691284244,0.2703181748340409,-0.10174820986425628,0.9462234120910482,-0.31802165089436985,0.9536703759462579,0.39667198598173614,0.22691525442228927,0.8661577610588918,-0.44555189146170926,-0.28129943744800334,0.09047720295427436,0.03858848854491248,0.3394589905038117,-0.4414490906224388,-0.4157843840013543,-0.16340106913384697,-0.1992527903887855,0.6417896703483209,-0.34789170634761846
shannonEntropy,-0.06579012459552988,0.007918415617660279,,-0.12690047542980415,0.2236857111435113,0.18282953591531578,-0.06385854233244018,0.03229177662350752,-0.005200586875597592,-0.03967363950580407,0.21935105003928435,-0.009872000909961058,0.014114428389905941,0.04418573506954576,-0.039809497691284244,1.0,-0.14071987732998212,-0.10567929986165582,0.002574731753931712,0.11697580407880578,-0.05890159460303257,-0.006629330534251002,0.01142403305320226,-0.07779184770271452,-0.0003952324431996592,0.009829468118583942,0.05800322774103744,-0.05188268117216795,-0.014475677375867666,0.19611392173230707,0.15319324330473294,-0.032584767568353525,0.005823299288026694,-0.06549167141278629,0.1936725893913279
renyiEntropy,-0.16668251362907155,0.431565879892163,,-0.30125875610392255,-0.820782947420126,-0.7360746633258569,0.5747592027772306,0.010735671686648582,-0.04537000438976783,-0.02799409493928483,-0.7812463061693617,0.007263397207784807,-0.12585769994863152,0.18595900268227425,0.2703181748340409,-0.14071987732998212,1.0,-0.2844600547889916,0.313443819544045,-0.38561831981047523,0.304056231719928,0.12865385077132188,-0.041574336958565605,0.3655828389316096,-0.2349735088301303,-0.48231351582637655,-0.10981858828987871,-0.3839232124834957,-0.2301104486188943,-0.8109612748412431,-0.7493903897892087,-0.19700972122034152,-0.258503544745322,0.3892685002500005,-0.7384269630892712
lempelZivComplexity,0.3938194153014488,-0.350221944550596,,0.17947919795353426,0.34316311910372327,0.3207056640279725,0.09324252483626863,0.20720879373914586,0.08775961162992403,-0.17278343019086453,0.2622552154651688,0.060530276430150215,0.06236496052846274,-0.14300400674969782,-0.10174820986425628,-0.10567929986165582,-0.2844600547889916,1.0,-0.08205896773326726,0.135643684050192,-0.1025002712177332,-0.04831009020000513,-0.13638354473348432,-0.11658018021310644,0.17418318653808829,0.088384727591608,0.04502722893380737,0.5054358783877921,0.3023385555090033,0.2805640403346867,0.23773188594282335,-0.06872336637308298,-0.08794600431924039,-0.0368895880269829,0.31394223216693506
hjorthMobility,-0.12134528505775623,0.12449796521760495,,-0.07659050808464393,-0.39963479989735456,-0.3738483049603966,0.31401315103936467,-0.12068001430946299,0.20817545618170705,0.230694305879455,-0.42417605921165374,0.1668198374106205,0.043601658350354726,0.3747873503704515,0.9462234120910482,0.002574731753931712,0.313443819544045,-0.08205896773326726,1.0,-0.4696341429959652,0.9668837478823705,0.33133517942837015,0.2051680344829068,0.7849134923312114,-0.5555344928273682,-0.30509413315738027,0.04404343755899543,-0.03951038858486427,0.21749307228413017,-0.4497495940882392,-0.42489452871731964,-0.19564740446798848,-0.22564605779497593,0.6785989918939206,-0.366676301072562
hjorthComplexity,0.21752686739904814,-0.3124899709024166,,0.10779687003526933,0.527790636860221,0.541994774971232,-0.3101540927660096,0.3225978848276832,0.15651822107229726,-0.16595314257605293,0.6195710289168365,0.3929343688530427,0.4332794216248534,0.24768206622406136,-0.31802165089436985,0.11697580407880578,-0.38561831981047523,0.135643684050192,-0.4696341429959652,1.0,-0.46275462488522534,0.14602719632316874,0.04964367792229323,-0.17400549799368561,0.6681618658388186,0.2851310940973648,0.20780223709839804,0.4301416703810989,0.4488547912595386,0.47287293142248366,0.44492249317440785,0.17419077865946195,0.19493238195426615,-0.42698541786826905,0.5475893034379254
fisherInfo,-0.12177633961615915,0.11505734569756315,,-0.0130274804632337,-0.4178205398719398,-0.39181237454547996,0.27625279399829855,-0.15704052630228968,0.23968498587886006,0.2540335205291067,-0.44422530961831297,0.19378446344205943,0.07915770012597176,0.3774656766766811,0.9536703759462579,-0.05890159460303257,0.304056231719928,-0.1025002712177332,0.9668837478823705,-0.46275462488522534,1.0,0.3370050675379408,0.20358801066451127,0.7940643432861775,-0.5471648301609048,-0.3072021742905742,0.03755514079893375,-0.019488338351108504,0.23915826644813343,-0.46413525829380825,-0.437585416487159,-0.19552605062833414,-0.22988747604960288,0.6868115673034254,-0.38532753091558297
petrosianFd,-0.01674023353848424,0.011268783427772678,,-0.10685282064819952,-0.12026877051768103,-0.08071808920531541,0.1150254760627815,0.017398082450615915,0.2541445454376083,0.18001792766794159,-0.11091574577806838,0.23995480159682503,0.20511728019186487,0.6446409302215151,0.39667198598173614,-0.006629330534251002,0.12865385077132188,-0.04831009020000513,0.33133517942837015,0.14602719632316874,0.3370050675379408,1.0,0.15686796655637109,0.4592386710201208,-0.06238072209026923,-0.11451071260018501,0.14151234098693266,0.13432642546035234,0.3219613178791895,-0.1627140636577665,-0.1664493957716214,-0.04097046490111893,-0.055900017651381334,0.2758216008267368,-0.07142811027799387
katzFd,-0.4969270449397144,0.2642565585399743,,0.11466287724741951,0.06262157627651686,0.08435402863447962,-0.35354843065257824,-0.04736553727706277,0.1855360789127767,0.0861629944537113,0.15247651543879095,0.16832916500825693,0.2519912656498963,0.17064225512268114,0.22691525442228927,0.01142403305320226,-0.041574336958565605,-0.13638354473348432,0.2051680344829068,0.04964367792229323,0.20358801066451127,0.15686796655637109,1.0,0.1902518599475538,-0.19484865332511644,0.12504537953074346,-0.01280344699770931,-0.036831781215072516,0.05904486212698222,0.08050244327470839,0.08582198860334007,0.16266572528954887,0.17158071789612758,-0.048654389784671286,0.09981364264015706
