feature,model_type,formula,n_segments,n_patients,beta_Class,se_Class,ci_low_Class,ci_high_Class,p_value_Class,converged,warning,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,absolute_beta_Class,paired_median_difference,paired_dominant_direction,paired_wilcoxon_p_value,paired_global_bh_fdr_p_value,paired_family_bh_fdr_p_value,paired_rank_biserial_effect_size,paired_direction_consistency,paired_direction_from_median_difference,lmm_direction_from_beta,lmm_agrees_with_paired_direction
entropyProfiled_kurtosis_sampleEntropy,main,z__entropyProfiled_kurtosis_sampleEntropy ~ Class,1260,20,0.03578680353699828,0.027424412150082594,-0.01796405657434627,0.08953766364834283,0.19191835627114595,True,,0.2320873145604556,False,0.03578680353699828,3.5999999999999943,increased_during_HI,0.4304332733154297,0.9077031086770774,0.5683961815099696,0.20952380952380953,0.55,increased_during_HI,increased_during_HI,True
QRS_std,main,z__QRS_std ~ Class,1255,20,0.05658986275526017,0.04381736862384063,-0.029290601644782845,0.1424703271553032,0.19653248111971566,True,Random effects covariance is singular,0.23226565950511852,False,0.05658986275526017,-0.0008651380000000031,tied,0.8983173370361328,0.9626522350658362,0.8983173370361328,0.0380952380952381,0.5,decreased_during_HI,increased_during_HI,False
distributionEntropy,main,z__distributionEntropy ~ Class,1260,20,0.0465797514903805,0.03767426655590321,-0.027260454103151657,0.12041995708391266,0.21631693447874423,True,,0.24996623539766,False,0.0465797514903805,0.0,decreased_during_HI,0.7758498559997214,0.9626522350658362,0.8405177356132087,-0.08088235294117647,0.45,no_change,increased_during_HI,False
renyiEntropy,main,z__renyiEntropy ~ Class,1260,20,-0.0467820185150022,0.0499891964308321,-0.14475904313553134,0.05119500610552692,0.3493542451031727,True,Random effects covariance is singular,0.39492219011663005,False,0.0467820185150022,0.054999999999999716,increased_during_HI,0.5731301472598336,0.9313364892972296,0.7641735296797781,0.14736842105263157,0.55,increased_during_HI,decreased_during_HI,False
fd_standardDeviation,main,z__fd_standardDeviation ~ Class,1260,20,0.01969767275908863,0.021590253134775816,-0.022618445802174966,0.06201379132035223,0.36158924675829285,True,,0.40005618790279207,False,0.01969767275908863,-0.4800000000000004,decreased_during_HI,0.8123550415039062,0.9626522350658362,1.0,-0.06666666666666667,0.6,decreased_during_HI,increased_during_HI,False
meanAbsoluteValue,main,z__meanAbsoluteValue ~ Class,1260,20,0.012954524429916753,0.021755653444300343,-0.029685772781046695,0.0555948216408802,0.5515390077945708,True,,0.5975005917774516,False,0.012954524429916753,-0.009999999999999988,decreased_during_HI,0.8243083271555138,0.9626522350658362,0.9256271491017656,-0.05789473684210526,0.55,decreased_during_HI,increased_during_HI,False
petrosianFd,main,z__petrosianFd ~ Class,1260,20,-0.018222223105645564,0.03757722675917254,-0.09187223419251853,0.05542778798122739,0.6277279164442877,True,,0.6661602378592442,False,0.018222223105645564,0.0,tied,0.763024600552995,0.9626522350658362,0.8901953673118276,0.1111111111111111,0.2,no_change,decreased_during_HI,False
kurtosis,main,z__kurtosis ~ Class,1260,20,0.011690975593518444,0.05438793624191064,-0.09490742063408715,0.11828937182112405,0.829802162962647,True,Random effects covariance is singular,0.8629942494811528,False,0.011690975593518444,0.9924999999999997,increased_during_HI,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,0.75,increased_during_HI,increased_during_HI,True
standardDeviation,main,z__standardDeviation ~ Class,1260,20,-0.0035143166334381656,0.021871623780047655,-0.046381911525741365,0.03935327825886503,0.8723460141427589,True,,0.8894508379494798,False,0.0035143166334381656,0.0,tied,0.8751691459232763,0.9626522350658362,0.9256271491017656,0.047619047619047616,0.35,no_change,decreased_during_HI,False
signal_energy,main,z__signal_energy ~ Class,1259,20,0.0026274340011996225,0.056614082579209475,-0.10833412887182745,0.11358899687422669,0.962983826253668,True,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,0.962983826253668,False,0.0026274340011996225,174.67302500000005,increased_during_HI,0.1893482208251953,0.6203346117998263,0.4733705520629883,0.34285714285714286,0.65,increased_during_HI,increased_during_HI,True
