feature,feature_family,candidate_category,total_candidate_score,dominant_direction,median_difference,direction_consistency,rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,lmm_agrees_with_paired_direction,lmm_global_bh_fdr_significant,percent_same_median_difference_sign_as_reference,loo_percent_same_median_difference_sign,retained_after_rho_090_filtering,rho_090_cluster_id,percent_missing,clinically_interpretable,known_artifact_or_rhythm_sensitive,interpretation_note
distributionEntropy,Entropy / complexity,Not prioritized,5,decreased_during_HI,0.0,0.45,-0.0808823529411764,0.7758498559997214,0.9626522350658362,0.8405177356132087,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
detrendedFluctuation,Fractal / nonlinear,Not prioritized,5,decreased_during_HI,0.0,0.45,-0.0294117647058823,0.9176178742687192,0.9626522350658362,0.9176178742687192,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
entropyProfiled_median_sampleEntropy,Entropy-profile aggregates,Not prioritized,5,increased_during_HI,0.0,0.35,0.2272727272727272,0.4973466588212234,0.9077031086770774,0.5683961815099696,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
median,Time-domain statistics,Not prioritized,5,decreased_during_HI,0.0,0.35,-0.1648351648351648,0.5961126657233238,0.9393290490185708,0.9256271491017656,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
petrosianFd,Fractal / nonlinear,Not prioritized,5,tied,0.0,0.2,0.1111111111111111,0.763024600552995,0.9626522350658362,0.8901953673118276,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
fd_maximum,FD-summary aggregates,Not prioritized,4,tied,-5.707499999999982,0.5,0.0476190476190476,0.8694877624511719,0.9626522350658362,1.0,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
QRS_std,Morphology / signal quality,Not prioritized,4,tied,-0.000865138,0.5,0.0380952380952381,0.8983173370361328,0.9626522350658362,0.8983173370361328,False,False,False,,,True,,0.3968253968253968,True,True,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; potentially rhythm/artifact sensitive
entropyProfiled_average_sampleEntropy,Entropy-profile aggregates,Not prioritized,4,tied,0.0,0.25,-0.1272727272727272,0.7202301969573564,0.9626522350658362,0.7202301969573564,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
fd_bandPower,FD-summary aggregates,Not prioritized,4,tied,0.0,0.0,,1.0,1.0,1.0,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
HRV_SDNN,HRV,Not prioritized,3,decreased_during_HI,-1.6762685174999987,0.55,-0.1523809523809524,0.5705966949462891,0.9313364892972296,0.6476554870605469,False,True,True,,,True,rho_09_cluster_01,0.07936507936507936,True,True,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; downgraded because HRV-valid subgroup does not strongly support signal; potentially rhythm/artifact sensitive
fd_kurtosis,FD-summary aggregates,Not prioritized,3,tied,1.035,0.5,0.019047619047619,0.956329345703125,0.9750809015012256,1.0,False,True,True,,,False,rho_09_cluster_04,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; removed by rho 0.90 redundancy filtering; highly derived aggregate feature
variance,Time-domain statistics,Not prioritized,3,decreased_during_HI,0.0,0.35,-0.0641025641025641,0.8442232365389633,0.9626522350658362,0.9256271491017656,False,False,False,,,False,rho_09_cluster_05,0.0,True,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering
standardDeviation,Time-domain statistics,Not prioritized,3,tied,0.0,0.35,0.0476190476190476,0.8751691459232763,0.9626522350658362,0.9256271491017656,False,False,False,,,False,rho_09_cluster_05,0.0,True,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering
entropyProfiled_kurtosis_sampleEntropy,Entropy-profile aggregates,Not prioritized,2,increased_during_HI,3.5999999999999943,0.55,0.2095238095238095,0.4304332733154297,0.9077031086770774,0.5683961815099696,False,True,False,,,False,rho_09_cluster_03,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; removed by rho 0.90 redundancy filtering; highly derived aggregate feature
hjorthMobility,Fractal / nonlinear,Not prioritized,2,increased_during_HI,0.005,0.5,-0.1736842105263158,0.5062190413776009,0.9077031086770774,0.7642383976586055,False,False,True,,,False,rho_09_cluster_06,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering
fisherInfo,Fractal / nonlinear,Not prioritized,2,tied,0.0,0.45,-0.1812865497076023,0.4985342407499642,0.9077031086770774,0.7642383976586055,False,False,True,,,False,rho_09_cluster_06,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering
fd_standardDeviation,FD-summary aggregates,Not prioritized,1,decreased_during_HI,-0.4800000000000004,0.6,-0.0666666666666666,0.8123550415039062,0.9626522350658362,1.0,False,False,False,,,False,rho_09_cluster_05,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering; highly derived aggregate feature
HRV_RMSSD,HRV,Not prioritized,-3,tied,0.445869794999993,0.5,-0.1238095238095238,0.6476554870605469,0.9626522350658362,0.6476554870605469,False,False,True,,,False,rho_09_cluster_01,0.07936507936507936,True,True,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; downgraded because HRV-valid subgroup does not strongly support signal; removed by rho 0.90 redundancy filtering; potentially rhythm/artifact sensitive
