analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,omitted_patient
leave_one_out_exclude_30851,entropyProfiled_maximum_sampleEntropy,19,19,2.28,2.285,-0.3200000000000003,-0.6150000000000002,0.0,-16.309012875536485,5,13,1,0.6842105263157895,decreased_during_HI,37.0,0.034669963150986444,-0.5672514619883041,False,0.08181973350594816,False,0.5672514619883041,30851
leave_one_out_exclude_30851,fd_mean,19,19,8.24,6.970000000000001,-0.3900000000000001,-0.79,0.15499999999999758,-5.252525252525248,7,12,0,0.631578947368421,decreased_during_HI,55.0,0.11337661743164062,-0.42105263157894735,False,0.11337661743164062,False,0.42105263157894735,30851
leave_one_out_exclude_30851,fd_median,19,19,2.93,1.86,-0.25,-0.8,0.09999999999999987,-5.660377358490571,6,13,0,0.6842105263157895,decreased_during_HI,49.0,0.06628799438476562,-0.4842105263157895,False,0.08181973350594816,False,0.4842105263157895,30851
leave_one_out_exclude_57091,QRS_mean,19,19,0.132103846,0.157876923,0.016255105500000006,-0.0002500000000000002,0.03041363349999998,8.40836472039211,12,7,0,0.631578947368421,increased_during_HI,33.0,0.01082611083984375,0.6526315789473685,False,0.0649566650390625,False,0.6526315789473685,57091
leave_one_out_exclude_57091,kurtosis,19,19,6.210000000000001,5.67,0.8499999999999996,0.125,1.7299999999999986,22.02702702702701,14,5,0,0.7368421052631579,increased_during_HI,47.0,0.05457305908203125,0.5052631578947369,True,0.10491485595703125,False,0.5052631578947369,57091
leave_one_out_exclude_57091,fuzzyEntropy,19,19,0.22,0.235,-0.01999999999999999,-0.09000000000000002,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,39.0,0.07562211699971229,-0.49019607843137253,False,0.10491485595703125,False,0.49019607843137253,57091
leave_one_out_exclude_57091,entropyProfiled_maximum_sampleEntropy,19,19,2.28,2.4,-0.19000000000000006,-0.6150000000000002,0.0,-11.764705882352951,5,12,2,0.631578947368421,decreased_during_HI,35.0,0.04946849467368889,-0.5424836601307189,False,0.10491485595703125,False,0.5424836601307189,57091
leave_one_out_exclude_57091,fd_mean,19,19,8.24,7.27,-0.3900000000000001,-0.79,0.15499999999999758,-4.4678055190538855,7,12,0,0.631578947368421,decreased_during_HI,57.0,0.1336212158203125,-0.4,False,0.1336212158203125,False,0.4,57091
leave_one_out_exclude_57091,fd_median,19,19,2.975,1.86,-0.25,-0.8,0.11000000000000032,-5.660377358490571,7,12,0,0.631578947368421,decreased_during_HI,52.0,0.08742904663085938,-0.45263157894736844,False,0.10491485595703125,False,0.45263157894736844,57091
leave_one_out_exclude_59285,QRS_mean,19,19,0.132103846,0.14475,0.004460272000000015,-0.0014142014999999897,0.02906433850000001,3.3968750398655754,11,8,0,0.5789473684210527,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,False,0.0959939529541183,False,0.5263157894736842,59285
