analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,reference_full_median_difference,reference_full_dominant_direction,reference_full_direction_consistency,reference_full_wilcoxon_p_value,reference_full_global_bh_fdr_p_value,reference_full_family_bh_fdr_p_value,reference_full_rank_biserial_effect_size,reference_full_bootstrap_ci_excludes_zero,direction_agrees_with_full_reference,sign_agrees_with_full_reference
exclude_patient_906,fd_mean,19,19,8.24,7.27,-0.3900000000000001,-0.79,0.1499999999999999,-5.252525252525248,6,13,0,0.6842105263157895,decreased_during_HI,47.0,0.05457305908203125,-0.5052631578947369,False,0.07954559326171874,False,0.5052631578947369,-0.36500000000000044,decreased_during_HI,0.65,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,False,True,True
exclude_patient_906,fd_median,19,19,2.975,1.86,-0.25,-0.8,0.11000000000000032,-5.660377358490571,6,13,0,0.6842105263157895,decreased_during_HI,49.0,0.06628799438476562,-0.4842105263157895,False,0.07954559326171874,False,0.4842105263157895,-0.16249999999999998,decreased_during_HI,0.65,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,False,True,True
exclude_atypical_HI_patients,QRS_mean,17,17,0.132103846,0.14475,0.004460272000000015,-0.0014142014999999897,0.02906433850000001,3.3968750398655754,10,7,0,0.5882352941176471,increased_during_HI,33.0,0.0395355224609375,0.5686274509803921,False,0.1806989194595988,False,0.5686274509803921,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
exclude_atypical_HI_patients,kurtosis,17,17,6.6850000000000005,6.1,1.1349999999999998,-0.20499999999999996,2.200000000000001,22.02702702702701,12,5,0,0.7058823529411765,increased_during_HI,38.0,0.0714111328125,0.5032679738562091,False,0.1806989194595988,False,0.5032679738562091,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
exclude_atypical_HI_patients,fuzzyEntropy,17,17,0.22,0.23,-0.01999999999999999,-0.09499999999999999,0.014999999999999986,-10.52631578947368,5,11,1,0.6470588235294118,decreased_during_HI,38.0,0.12046594630639919,-0.4411764705882353,False,0.1806989194595988,False,0.4411764705882353,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,True,True
exclude_atypical_HI_patients,entropyProfiled_maximum_sampleEntropy,17,17,2.28,2.43,-0.19000000000000006,-0.8200000000000003,0.04999999999999982,-16.309012875536485,5,10,2,0.5882352941176471,decreased_during_HI,31.0,0.09953968814740126,-0.48333333333333334,False,0.1806989194595988,False,0.48333333333333334,-0.25500000000000017,decreased_during_HI,0.65,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,False,True,True
exclude_atypical_HI_patients,fd_mean,17,17,8.864999999999998,7.355,-0.3900000000000001,-1.9949999999999992,0.3600000000000012,-2.9120000000000004,7,10,0,0.5882352941176471,decreased_during_HI,49.0,0.2068939208984375,-0.35947712418300654,False,0.2246856689453125,False,0.35947712418300654,-0.36500000000000044,decreased_during_HI,0.65,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,False,True,True
exclude_atypical_HI_patients,fd_median,17,17,2.975,1.86,-0.05500000000000016,-0.8,0.13,-5.285412262156448,7,10,0,0.5882352941176471,decreased_during_HI,50.0,0.2246856689453125,-0.3464052287581699,False,0.2246856689453125,False,0.3464052287581699,-0.16249999999999998,decreased_during_HI,0.65,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,False,True,True
clean_sinus_subgroup,QRS_mean,4,4,0.14711141775,0.16982049049999998,0.023334369499999993,-0.00012023249999998376,0.04521989899999998,18.46455640914777,3,1,0,0.75,increased_during_HI,1.0,0.25,0.8,False,1.0,False,0.8,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
clean_sinus_subgroup,kurtosis,4,4,4.6075,2.765,1.1475,-7.265,1.7299999999999986,23.845089903181176,3,1,0,0.75,increased_during_HI,4.0,0.875,0.2,False,1.0,False,0.2,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
clean_sinus_subgroup,fuzzyEntropy,4,4,0.19,0.25,0.007499999999999993,-0.2,0.06,1.3636363636363615,2,2,0,0.5,tied,5.0,1.0,0.0,False,1.0,False,0.0,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,False,False
clean_sinus_subgroup,entropyProfiled_maximum_sampleEntropy,4,4,2.3825000000000003,2.49,-0.23249999999999993,-1.9900000000000002,2.57,-9.08477178862649,2,2,0,0.5,tied,5.0,1.0,0.0,False,1.0,False,0.0,-0.25500000000000017,decreased_during_HI,0.65,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,False,False,True
clean_sinus_subgroup,fd_mean,4,4,8.719999999999999,7.805,-0.8949999999999991,-2.83,1.2750000000000004,-9.046548885229843,2,2,0,0.5,tied,3.0,0.625,-0.4,False,1.0,False,0.4,-0.36500000000000044,decreased_during_HI,0.65,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,False,False,True
clean_sinus_subgroup,fd_median,4,4,2.0425,1.59,0.03749999999999992,-2.69,0.26,7.6282618310482055,2,2,0,0.5,tied,5.0,1.0,0.0,False,1.0,False,0.0,-0.16249999999999998,decreased_during_HI,0.65,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,False,False,False
fixed_signal_quality_filtered,QRS_mean,19,20,0.1368522585,0.144,0.005950611000000008,-0.0014142014999999897,0.030260313499999997,5.276280086305412,12,7,0,0.631578947368421,increased_during_HI,41.0,0.0289306640625,0.5684210526315789,False,0.1052486837107019,False,0.5684210526315789,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
