feature,feature_family,excluded_patient_id,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,loo_status,analysis_type,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,baseline_bootstrap_ci_excludes_zero,direction_matches_baseline,median_delta_sign_matches_baseline,direction_consistency_drop,p_value_ratio_vs_baseline,potentially_influential_patient_flag
HRV_MeanNN,HRV,1855,19,626.1989528500001,632.2539683,14.96410354999989,14,5,0,increase,0.7368421052631579,0.09551239013671875,0.4421052631578947,1.601366999999982,65.73329710000007,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.7963839862247095,0
HRV_MeanNN,HRV,26398,19,626.1989528500001,652.5603795,26.554883949999976,15,4,0,increase,0.7894736842105263,0.036067962646484375,0.5473684210526316,1.6661452999999256,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,-0.03947368421052633,0.6783613143923088,0
HRV_MeanNN,HRV,26502,19,626.1989528500001,652.5603795,26.554883949999976,14,5,0,increase,0.7368421052631579,0.060207366943359375,0.49473684210526314,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.1323719328454585,0
HRV_MeanNN,HRV,27245,19,626.1989528500001,652.5603795,26.554883949999976,14,5,0,increase,0.7368421052631579,0.060207366943359375,0.49473684210526314,1.6661452999999256,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.1323719328454585,0
HRV_MeanNN,HRV,30071,19,625.8526316,652.5603795,26.554883949999976,15,4,0,increase,0.7894736842105263,0.03234100341796875,0.5578947368421052,1.6661452999999256,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,-0.03947368421052633,0.6082651743435213,0
HRV_MeanNN,HRV,30851,19,625.8526316,632.2539683,14.96410354999989,14,5,0,increase,0.7368421052631579,0.07987594604492188,0.4631578947368421,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.5022958817620893,0
HRV_MeanNN,HRV,491,19,625.8526316,632.2539683,26.554883949999976,14,5,0,increase,0.7368421052631579,0.060207366943359375,0.49473684210526314,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.1323719328454585,0
HRV_MeanNN,HRV,57091,19,626.1989528500001,652.5603795,14.96410354999989,14,5,0,increase,0.7368421052631579,0.07987594604492188,0.4631578947368421,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.5022958817620893,0
HRV_MeanNN,HRV,59285,19,626.1989528500001,652.5603795,14.96410354999989,14,5,0,increase,0.7368421052631579,0.07283401489257812,0.47368421052631576,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.3698522026115656,0
HRV_MeanNN,HRV,638,19,626.1989528500001,652.5603795,26.554883949999976,15,4,0,increase,0.7894736842105263,0.036067962646484375,0.5473684210526316,1.6661452999999256,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,-0.03947368421052633,0.6783613143923088,0
