scenario,feature,feature_family,n_segments,n_patients_total_after_filter,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,scenario_status,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,direction_matches_baseline,median_delta_sign_matches_baseline,p_value_ratio_vs_baseline
exclude_any_af,fd_median,fractal-dimension summary features,874,14,14,2.6525,1.835,-0.04250000000000009,6,8,0,decrease,0.5714285714285714,0.5015869140625,-0.21904761904761905,-0.5700000000000003,0.13,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,5.592140518011313
exclude_any_af,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,874,14,14,0.1325,0.14500000000000002,-0.0049999999999999975,3,7,4,decrease,0.5,0.35832646674888025,-0.32727272727272727,-0.020000000000000018,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,3.740856858775237
exclude_major_hrv_outlier,kurtosis,time-domain statistics,1202,19,19,5.75,5.67,0.8499999999999996,14,5,0,increase,0.7368421052631579,0.05457305908203125,0.5052631578947369,0.125,1.7299999999999986,1,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1.5061325472443017
exclude_major_hrv_outlier,HRV_MeanNN,HRV,1202,19,19,625.8526316,632.2539683,26.554883949999976,14,5,0,increase,0.7368421052631579,0.060207366943359375,0.49473684210526314,1.601366999999982,68.68599989999996,1,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1.1323719328454585
exclude_major_hrv_outlier,HRV_pNN50,HRV,1202,19,19,44.44444444,32.62605042,-11.334945930000007,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,1.8529495990836198
exclude_major_hrv_outlier,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1202,19,19,2.4850000000000003,2.4,-0.3200000000000003,5,12,2,decrease,0.631578947368421,0.04946849467368889,-0.5424836601307189,-0.6150000000000002,0.0,0,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,1.4268401283916967
exclude_major_hrv_outlier,fd_minimum,fractal-dimension summary features,1202,19,19,0.01,0.01,0.0,2,7,10,no_change,0.5263157894736842,0.06661636996862676,-0.6666666666666666,-0.01,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,1.0
exclude_major_hrv_outlier,QRS_mean,ECG morphology and signal energy,1202,19,19,0.132103846,0.14475,0.004460272000000015,11,8,0,increase,0.5789473684210527,0.044559478759765625,0.5263157894736842,-0.0014142014999999897,0.03041363349999998,0,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,1.8604762283985028
exclude_major_hrv_outlier,fuzzyEntropy,entropy and complexity,1202,19,19,0.22,0.24,-0.01999999999999999,5,12,2,decrease,0.631578947368421,0.11247621043596484,-0.43790849673202614,-0.07,0.0,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,1.757551496338386
exclude_major_hrv_outlier,fd_median,fractal-dimension summary features,1202,19,19,2.975,1.86,-0.25,6,13,0,decrease,0.6842105263157895,0.06628799438476562,-0.4842105263157895,-0.8,0.11000000000000032,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,0.7390379789903457
exclude_major_hrv_outlier,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,1202,19,19,0.135,0.14,-0.009999999999999995,3,10,6,decrease,0.5263157894736842,0.13248366124040703,-0.4725274725274725,-0.045,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,1.3831030047081512
exclude_mechanical_support,kurtosis,time-domain statistics,1080,17,17,5.0649999999999995,6.1,1.1349999999999998,14,3,0,increase,0.8235294117647058,0.0025787353515625,0.7908496732026143,0.5299999999999999,2.200000000000001,1,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,0.07116913196820551
exclude_mechanical_support,HRV_MeanNN,HRV,1080,17,17,625.8526316,632.2539683,14.96410354999989,13,4,0,increase,0.7647058823529411,0.0638275146484375,0.5163398692810458,1.601366999999982,65.73329710000007,1,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1.200459176352418
exclude_mechanical_support,HRV_pNN50,HRV,1080,17,17,45.032144945,32.62605042,-11.334945930000007,6,11,0,decrease,0.6470588235294118,0.056884765625,-0.5294117647058824,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,2.1351660939289805
exclude_mechanical_support,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1080,17,17,2.4850000000000003,2.285,-0.3200000000000003,3,12,2,decrease,0.7058823529411765,0.0026107767405259366,-0.8833333333333333,-0.6150000000000002,0.0,0,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,0.07530370681838044
exclude_mechanical_support,fd_minimum,fractal-dimension summary features,1080,17,17,0.01,0.01,0.0,2,6,9,no_change,0.5294117647058824,0.11421959469736205,-0.6111111111111112,-0.01,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,1.7145874918005022
exclude_mechanical_support,QRS_mean,ECG morphology and signal energy,1080,17,17,0.1368522585,0.157876923,0.020566305499999993,10,7,0,increase,0.5882352941176471,0.030517578125,0.5947712418300654,-0.0014142014999999897,0.032305719499999996,0,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,1.2741896949908418
exclude_mechanical_support,fuzzyEntropy,entropy and complexity,1080,17,17,0.22,0.23,-0.01999999999999999,3,12,2,decrease,0.7058823529411765,0.02301276385509717,-0.6666666666666666,-0.09000000000000002,0.0,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,0.3595970862783896
exclude_mechanical_support,fd_median,fractal-dimension summary features,1080,17,17,3.035,2.41,-0.25,6,11,0,decrease,0.6470588235294118,0.10888671875,-0.45098039215686275,-0.8,0.11000000000000032,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,1.2139667418024072
exclude_mechanical_support,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,1080,17,17,0.135,0.14,-0.020000000000000004,1,10,6,decrease,0.5882352941176471,0.005822758233189509,-0.9393939393939394,-0.045,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,0.060788434834991224
exclude_atypical_hi,kurtosis,time-domain statistics,1081,17,17,6.6850000000000005,6.1,1.1349999999999998,12,5,0,increase,0.7058823529411765,0.0714111328125,0.5032679738562091,-0.20499999999999996,2.200000000000001,0,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,1.9708375006579986
exclude_atypical_hi,HRV_MeanNN,HRV,1081,17,17,650.8942342,687.2643678,13.563859100000059,12,5,0,increase,0.7058823529411765,0.1593780517578125,0.39869281045751637,-15.487890300000004,68.68599989999996,0,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,2.9975606256277803
exclude_atypical_hi,HRV_pNN50,HRV,1081,17,17,44.44444444,29.21348315,-12.470839774999998,5,12,0,decrease,0.7058823529411765,0.00933837890625,-0.6993464052287581,-20.20221367,0.03400062000000048,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,0.35051546391752575
exclude_atypical_hi,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1081,17,17,2.28,2.43,-0.19000000000000006,5,10,2,decrease,0.5882352941176471,0.09953968814740126,-0.48333333333333334,-0.8200000000000003,0.04999999999999982,0,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,2.871064146042195
exclude_atypical_hi,fd_minimum,fractal-dimension summary features,1081,17,17,0.01,0.01,0.0,2,7,8,no_change,0.47058823529411764,0.06661636996862676,-0.6666666666666666,-0.01,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,1.0
exclude_atypical_hi,QRS_mean,ECG morphology and signal energy,1081,17,17,0.132103846,0.14475,0.004460272000000015,10,7,0,increase,0.5882352941176471,0.0395355224609375,0.5686274509803921,-0.0014142014999999897,0.02906433850000001,0,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,1.6507127498606355
exclude_atypical_hi,fuzzyEntropy,entropy and complexity,1081,17,17,0.22,0.23,-0.01999999999999999,5,11,1,decrease,0.6470588235294118,0.12046594630639919,-0.4411764705882353,-0.09499999999999999,0.014999999999999986,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,1.8823989834647858
exclude_atypical_hi,fd_median,fractal-dimension summary features,1081,17,17,2.975,1.86,-0.05500000000000016,7,10,0,decrease,0.5882352941176471,0.2246856689453125,-0.3464052287581699,-0.8,0.13,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,2.5049972355718113
exclude_atypical_hi,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,1081,17,17,0.13,0.14,-0.009999999999999995,3,9,5,decrease,0.5294117647058824,0.18149641476294975,-0.4358974358974359,-0.04999999999999999,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,1.894786377822641
