feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size
fd_variance,fractal-dimension summary features,20,406.5925,405.44000000000005,-18.897500000000008,-4.053052354935056,8,12,0,decrease,0.6,0.7561664581298828,-0.08571428571428572,-68.84749999999998,34.454999999999984,0,0,0.08571428571428572
petrosianFd,fractal and nonlinear dynamics,20,1.02,1.02,0.0,0.0,4,4,12,no_change,0.6,0.763024600552995,0.1111111111111111,0.0,0.0,0,0,0.1111111111111111
distributionEntropy,entropy and complexity,20,0.83,0.83,0.0,0.0,7,9,4,decrease,0.45,0.7758498559997214,-0.08088235294117647,-0.0125,0.015,0,0,0.08088235294117647
skewness,time-domain statistics,20,-0.305,-0.21000000000000002,0.04249999999999995,3.6062779765137827,11,9,0,increase,0.55,0.7841262817382812,-0.0761904761904762,-0.31249999999999994,0.1949999999999999,0,0,0.0761904761904762
fd_standardDeviation,fractal-dimension summary features,20,20.135,20.137500000000003,-0.4800000000000004,-2.0578285025895173,8,12,0,decrease,0.6,0.8123550415039062,-0.06666666666666667,-1.4024999999999999,1.1599999999999984,0,0,0.06666666666666667
meanAbsoluteValue,time-domain statistics,20,0.12,0.11,-0.0099999999999999,-6.9047619047619015,8,11,1,decrease,0.55,0.8243083271555138,-0.05789473684210526,-0.01,0.01,0,0,0.05789473684210526
permutationEntropy,entropy and complexity,20,2.3725,2.3425000000000002,0.03,1.3797692990239587,12,7,1,increase,0.6,0.8405177356132087,-0.05263157894736842,-0.1074999999999999,0.05249999999999995,0,0,0.05263157894736842
variance,time-domain statistics,20,0.03,0.03,0.0,0.0,5,7,8,no_change,0.4,0.8442232365389633,-0.0641025641025641,-0.0099999999999999,0.0,0,2,0.0641025641025641
fd_maximum,fractal-dimension summary features,20,458.5475,450.5825,-5.707499999999981,-2.251785406046744,10,10,0,tie_or_mixed,0.5,0.8694877624511719,0.047619047619047616,-78.08249999999998,91.64750000000001,0,0,0.047619047619047616
standardDeviation,time-domain statistics,20,0.1775,0.18,0.0,0.0,7,7,6,tie_or_mixed,0.35,0.8751691459232763,0.047619047619047616,-0.0099999999999999,0.0075,0,0,0.047619047619047616
QRS_std,ECG morphology and signal energy,20,0.03713810025,0.03532675174999995,-0.0008651380000000026,-3.091835938943172,10,10,0,tie_or_mixed,0.5,0.8983173370361328,0.0380952380952381,-0.0042960915,0.0052235365,0,0,0.0380952380952381
fd_skewness,fractal-dimension summary features,20,9.6225,8.709999999999999,0.0225000000000002,-0.7523293371002038,10,10,0,tie_or_mixed,0.5,0.8983173370361328,0.0380952380952381,-1.2900000000000014,2.744999999999999,0,0,0.0380952380952381
detrendedFluctuation,fractal and nonlinear dynamics,20,0.515,0.5275000000000001,0.0,0.0,7,9,4,decrease,0.45,0.9176178742687193,-0.029411764705882353,-0.0349999999999999,0.0125,0,0,0.029411764705882353
positiveToNegativeSampleRatio,time-domain statistics,20,1.1075000000000002,1.0474999999999999,-0.005,-0.2196382428940571,10,10,0,tie_or_mixed,0.5,0.9256271491017656,0.023809523809523808,-0.13249999999999995,0.19499999999999995,0,0,0.023809523809523808
fd_kurtosis,fractal-dimension summary features,20,163.885,140.755,1.0350000000000001,-2.5340139675328666,10,10,0,tie_or_mixed,0.5,0.956329345703125,0.01904761904761905,-52.60500000000006,47.7325,0,0,0.01904761904761905
fd_bandPower,fractal-dimension summary features,20,0.0,0.0,0.0,,0,0,20,no_change,1.0,1.0,0.0,0.0,0.0,0,20,0.0
